# Transmission curve for 1 atmosphere at Palomar from Jim Gunn.
# Units are Angstroms and magnitudes of extinction.
      2900    15.000
      3000     9.000
      3150     1.450
      3160     1.345
      3170     1.282
      3180     1.225
      3190     1.173
      3200     1.125
      3210     1.085
      3220     1.050
      3230     1.020
      3240     0.993
      3250     0.967
      3260     0.945
      3270     0.926
      3280     0.905
      3290     0.885
      3300     0.867
      3320     0.833
      3340     0.804
      3360     0.780
      3380     0.763
      3400     0.746
      3450     0.715
      3500     0.650
      3600     0.585
      3700     0.526
      3800     0.485
      3900     0.440
      4000     0.385
      4100     0.347
      4200     0.316
      4300     0.291
      4400     0.267
      4500     0.244
      4600     0.225
      4700     0.209
      4800     0.197
      4900     0.186
      5000     0.178
      5200     0.167
      5400     0.156
      5600     0.150
      5800     0.145
      6000     0.127
      6100     0.113
      6200     0.102
      6500     0.085
      6820     0.078
      6880     0.158
      6980     0.074
      7000     0.073
      7140     0.070
      7180     0.160
      7220     0.120
      7300     0.110
      7340     0.068
      7360     0.067
      7560     0.065
      7570     0.065
      7588     0.118
      7594     0.379
      7607     0.943
      7620     0.481
      7633     0.601
      7646     0.477
      7653     0.331
      7660     0.256
      7673     0.146
      7680     0.063
      7690     0.062
      7700     0.061
      7900     0.059
      8100     0.058
      8140     0.110
      8300     0.110
      8350     0.055
      8360     0.055
      8625     0.053
      8890     0.052
      8900     0.052
      8980     0.190
      9060     0.140
      9260     0.140
      9350     0.559
      9420     0.420
      9460     0.490
      9500     0.430
      9540     0.440
      9580     0.360
      9620     0.270
      9700     0.100
      9740     0.140
      9860     0.045
      9870     0.045
     11200     0.043
     12500     0.041
